# omega0=1, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.00, t_end=150.00, h=0.01
#   t          x(t)                 v(t)       
0.00  -8.000000000000000e-01  1.234000000000000e-01
1.142397328578107e-01 -7.756198521541964e-01 3.023815519436968e-01
2.284794657156214e-01 -7.311877154496343e-01 4.741217310495091e-01
3.427191985734318e-01 -6.676448517046180e-01 6.366133818063645e-01
4.569589314312422e-01 -5.861660624134289e-01 7.877730205640109e-01
5.711986642890526e-01 -4.881681998399633e-01 9.254526655394613e-01
6.854383971468631e-01 -3.753144484066219e-01 1.047502465075099e+00
7.996781300046735e-01 -2.495085923316982e-01 1.151882315591406e+00
9.139178628624839e-01 -1.128742350693554e-01 1.236810880288903e+00
1.028157595720294e+00 3.228414531561637e-02 1.300930154448894e+00
1.142397328578105e+00 1.835384449263142e-01 1.343456067975918e+00
1.256637061435915e+00 3.384090917562576e-01 1.364283985678644e+00
1.370876794293726e+00 4.944454487071512e-01 1.364024402490469e+00
1.485116527151536e+00 6.493057034956057e-01 1.343957835098985e+00
1.599356260009346e+00 8.008272016942750e-01 1.305915047664287e+00
1.713595992867157e+00 9.470797907873847e-01 1.252103918888129e+00
1.827835725724967e+00 1.086397747750705e+00 1.184912908602779e+00
1.942075458582778e+00 1.217389382422638e+00 1.106721429240886e+00
2.056315191440588e+00 1.338926545986260e+00 1.019740822772395e+00
2.170554924298399e+00 1.450118414088261e+00 9.258994251555809e-01
2.284794657156209e+00 1.550274854470199e+00 8.267749464711929e-01
2.399034390014020e+00 1.638864581767241e+00 7.235695963077409e-01
2.513274122871830e+00 1.715472496722952e+00 6.171189993789110e-01
2.627513855729640e+00 1.779759486541110e+00 5.079246947871858e-01
2.741753588587451e+00 1.831426835923632e+00 3.962009720009350e-01
2.855993321445261e+00 1.870186457655850e+00 2.819289425974465e-01
2.970233054303072e+00 1.895737483598058e+00 1.649132640702730e-01
3.084472787160882e+00 1.907749372016076e+00 4.483930988146872e-02
3.198712520018693e+00 1.905851553131428e+00 -7.866943050651282e-02
3.312952252876503e+00 1.889629701261410e+00 -2.059924231090243e-01
3.427191985734313e+00 1.858628932990732e+00 -3.374493223684178e-01
3.541431718592124e+00 1.812364526268854e+00 -4.732306059425681e-01
3.655671451449934e+00 1.750341063281269e+00 -6.133191187170862e-01
3.769911184307745e+00 1.672081123418112e+00 -7.574013049212936e-01
3.884150917165555e+00 1.577164654371236e+00 -9.047695933158165e-01
3.998390650023365e+00 1.465279742425229e+00 -1.054221932095178e+00
4.112630382881180e+00 1.336284461189402e+00 -1.203971045680494e+00
4.226870115738995e+00 1.190277586503871e+00 -1.351584115550524e+00
4.341109848596810e+00 1.027673133176238e+00 -1.493981486546707e+00
4.455349581454625e+00 8.492701086331339e-01 -1.627527108703255e+00
4.569589314312440e+00 6.563053030033340e-01 -1.748238673400577e+00
4.683829047170255e+00 4.504746471007991e-01 -1.852127005657512e+00
4.798068780028069e+00 2.339093389215965e-01 -1.935641290823017e+00
4.912308512885884e+00 9.097928664348349e-03 -1.996155981861682e+00
5.026548245743699e+00 -2.212450700396555e-01 -2.032402268419696e+00
5.140787978601514e+00 -4.543516793147491e-01 -2.044740438926760e+00
5.255027711459329e+00 -6.875912458081671e-01 -2.035199911581697e+00
5.369267444317144e+00 -9.186515860955932e-01 -2.007274018032826e+00
5.483507177174959e+00 -1.145684948688353e+00 -1.965522884886951e+00
5.597746910032773e+00 -1.367402206901120e+00 -1.915082385477010e+00
5.711986642890588e+00 -1.583110694693480e+00 -1.861184836485207e+00
5.826226375748403e+00 -1.792701964786601e+00 -1.808771680321107e+00
5.940466108606218e+00 -1.996602596574102e+00 -1.762236758467429e+00
6.054705841464033e+00 -2.195703242049426e+00 -1.725299192190902e+00
6.168945574321848e+00 -2.391279319418376e+00 -1.700978290204368e+00
6.283185307179663e+00 -2.584912818623950e+00 -1.691631278303987e+00
6.397425040037477e+00 -2.778420098620785e+00 -1.699014207347806e+00
6.511664772895292e+00 -2.973786302686443e+00 -1.724331778192954e+00
6.625904505753107e+00 -3.173103504663472e+00 -1.768248889687428e+00
6.740144238610922e+00 -3.378506990969057e+00 -1.830843647341995e+00
6.854383971468737e+00 -3.592102173998843e+00 -1.911488890562126e+00
6.968623704326552e+00 -3.815873692961374e+00 -2.008659505300861e+00
7.082863437184367e+00 -4.051568829008018e+00 -2.119679716609376e+00
7.197103170042181e+00 -4.300550435581389e+00 -2.240451935595302e+00
7.311342902899996e+00 -4.563621437846163e+00 -2.365247076711569e+00
7.425582635757811e+00 -4.840834492120301e+00 -2.486677548801242e+00
7.539822368615626e+00 -5.131315844072308e+00 -2.595996328685219e+00
7.654062101473441e+00 -5.433147682556803e+00 -2.683833703964221e+00
7.768301834331256e+00 -5.743360265706578e+00 -2.741367270669054e+00
7.882541567189071e+00 -6.058074205933795e+00 -2.761731132222266e+00
7.996781300046885e+00 -6.372800041985429e+00 -2.741287420042281e+00
8.111021032904700e+00 -6.682854488656679e+00 -2.680333130614565e+00
8.225260765762515e+00 -6.983811145688153e+00 -2.582975766983824e+00
8.339500498620330e+00 -7.271890069829122e+00 -2.456222431795353e+00
8.453740231478145e+00 -7.544213205078506e+00 -2.308613009366880e+00
8.567979964335960e+00 -7.798898524737089e+00 -2.148832916456414e+00
8.682219697193775e+00 -8.035011529403222e+00 -1.984644091288539e+00
8.796459430051589e+00 -8.252420499766126e+00 -1.822275911379841e+00
8.910699162909404e+00 -8.451607412392031e+00 -1.666241820685124e+00
9.024938895767219e+00 -8.633476351553471e+00 -1.519454587626572e+00
9.139178628625034e+00 -8.799185342398868e+00 -1.383499412871041e+00
9.253418361482849e+00 -8.950012964840907e+00 -1.258954984461320e+00
9.367658094340664e+00 -9.087260989483280e+00 -1.145695193267747e+00
