# 3D harmonic oscillator
# eigenvalue = 2.744835e+00

#   r       u(r)
0.000000 0.000000
0.040000 1.311029e-02
0.080000 2.616301e-02
0.120000 3.910089e-02
0.160000 5.186728e-02
0.200000 6.440641e-02
0.240000 7.666372e-02
0.280000 8.858611e-02
0.320000 1.001222e-01
0.360000 1.112227e-01
0.400000 1.218405e-01
0.440000 1.319311e-01
0.480000 1.414524e-01
0.520000 1.503655e-01
0.560000 1.586346e-01
0.600000 1.662268e-01
0.640000 1.731130e-01
0.680000 1.792673e-01
0.720000 1.846674e-01
0.760000 1.892948e-01
0.800000 1.931346e-01
0.840000 1.961757e-01
0.880000 1.984106e-01
0.920000 1.998356e-01
0.960000 2.004506e-01
1.000000 2.002591e-01
1.040000 1.992683e-01
1.080000 1.974886e-01
1.120000 1.949337e-01
1.160000 1.916205e-01
1.200000 1.875689e-01
1.240000 1.828015e-01
1.280000 1.773438e-01
1.320000 1.712235e-01
1.360000 1.644705e-01
1.400000 1.571170e-01
1.440000 1.491965e-01
1.480000 1.407446e-01
1.520000 1.317979e-01
1.560000 1.223942e-01
1.600000 1.125721e-01
1.640000 1.023708e-01
1.680000 9.183018e-02
1.720000 8.098988e-02
1.760000 6.988974e-02
1.800000 5.856926e-02
1.840000 4.706747e-02
1.880000 3.542271e-02
1.920000 2.367246e-02
1.960000 1.185315e-02
