# Ising model in 2dimensions at kT = 1
#  time     energy  
      0     -270.000
      1     -436.000
      2     -484.000
      3     -524.000
      4     -538.000
      5     -558.000
      6     -564.000
      7     -566.000
      8     -578.000
      9     -574.000
     10     -580.000
     11     -592.000
     12     -596.000
     13     -606.000
     14     -608.000
     15     -618.000
     16     -626.000
     17     -626.000
     18     -632.000
     19     -614.000
     20     -632.000
     21     -638.000
     22     -636.000
     23     -644.000
     24     -650.000
     25     -648.000
     26     -648.000
     27     -644.000
     28     -648.000
     29     -648.000
     30     -658.000
     31     -658.000
     32     -654.000
     33     -660.000
     34     -654.000
     35     -646.000
     36     -660.000
     37     -656.000
     38     -658.000
     39     -652.000
     40     -654.000
     41     -652.000
     42     -652.000
     43     -658.000
     44     -656.000
     45     -646.000
     46     -646.000
     47     -652.000
     48     -658.000
     49     -664.000
     50     -660.000
     51     -666.000
     52     -660.000
     53     -660.000
     54     -660.000
     55     -664.000
     56     -668.000
     57     -662.000
     58     -666.000
     59     -664.000
     60     -660.000
     61     -666.000
     62     -670.000
     63     -664.000
     64     -668.000
     65     -662.000
     66     -656.000
     67     -656.000
     68     -656.000
     69     -650.000
     70     -664.000
     71     -656.000
     72     -656.000
     73     -654.000
     74     -656.000
     75     -658.000
     76     -640.000
     77     -652.000
     78     -656.000
     79     -652.000
     80     -650.000
     81     -644.000
     82     -660.000
     83     -654.000
     84     -662.000
     85     -666.000
     86     -668.000
     87     -662.000
     88     -662.000
     89     -666.000
     90     -672.000
     91     -666.000
     92     -668.000
     93     -660.000
     94     -674.000
     95     -678.000
     96     -672.000
     97     -672.000
     98     -674.000
     99     -674.000
    100     -678.000
    110     -676.000
    120     -684.000
    130     -684.000
    140     -670.000
    150     -688.000
    160     -684.000
    170     -690.000
    180     -684.000
    190     -694.000
    200     -698.000
    210     -700.000
    220     -708.000
    230     -700.000
    240     -714.000
    250     -714.000
    260     -708.000
    270     -720.000
    280     -708.000
    290     -698.000
    300     -716.000
    310     -716.000
    320     -708.000
    330     -718.000
    340     -704.000
    350     -712.000
    360     -714.000
    370     -716.000
    380     -712.000
    390     -712.000
    400     -716.000
    410     -710.000
    420     -704.000
    430     -702.000
    440     -710.000
    450     -708.000
    460     -720.000
    470     -716.000
    480     -710.000
    490     -700.000
    500     -706.000
    510     -718.000
    520     -714.000
    530     -716.000
    540     -710.000
    550     -720.000
    560     -714.000
    570     -718.000
    580     -710.000
    590     -708.000
    600     -708.000
    610     -710.000
    620     -718.000
    630     -708.000
    640     -706.000
    650     -712.000
    660     -704.000
    670     -706.000
    680     -714.000
    690     -718.000
    700     -708.000
    710     -700.000
    720     -710.000
    730     -712.000
    740     -704.000
    750     -708.000
    760     -706.000
    770     -716.000
    780     -714.000
    790     -716.000
    800     -708.000
    810     -712.000
    820     -710.000
    830     -718.000
    840     -706.000
    850     -702.000
    860     -714.000
    870     -714.000
    880     -716.000
    890     -708.000
    900     -716.000
    910     -708.000
    920     -706.000
    930     -698.000
    940     -722.000
    950     -708.000
    960     -716.000
    970     -706.000
    980     -714.000
    990     -704.000
