# Ising model in 2dimensions at kT = 20
#  time     energy  
      0      -10.000
      1      -46.000
      2      -20.000
      3      -50.000
      4      -10.000
      5      -10.000
      6      -46.000
      7      -86.000
      8       16.000
      9      -68.000
     10      -70.000
     11      -38.000
     12      -52.000
     13      -14.000
     14      -74.000
     15      -38.000
     16      -42.000
     17      -86.000
     18       12.000
     19       -6.000
     20      -24.000
     21      -80.000
     22      -24.000
     23      -38.000
     24       -4.000
     25      -18.000
     26      -24.000
     27      -58.000
     28       -4.000
     29      -72.000
     30       -4.000
     31      -88.000
     32      -40.000
     33      -48.000
     34      -88.000
     35      -12.000
     36      -28.000
     37      -24.000
     38      -44.000
     39      -80.000
     40      -26.000
     41      -28.000
     42      -54.000
     43      -62.000
     44      -38.000
     45      -14.000
     46      -62.000
     47      -28.000
     48      -60.000
     49      -30.000
     50      -58.000
     51      -60.000
     52      -50.000
     53      -48.000
     54      -48.000
     55       14.000
     56      -36.000
     57      -44.000
     58       -6.000
     59      -32.000
     60      -40.000
     61      -46.000
     62      -30.000
     63      -40.000
     64      -34.000
     65      -54.000
     66      -60.000
     67       22.000
     68      -38.000
     69      -30.000
     70      -24.000
     71      -54.000
     72      -56.000
     73      -78.000
     74      -58.000
     75      -12.000
     76      -14.000
     77      -70.000
     78      -44.000
     79        0.000
     80       12.000
     81      -58.000
     82      -32.000
     83      -50.000
     84      -22.000
     85      -14.000
     86        8.000
     87      -32.000
     88      -40.000
     89      -38.000
     90      -64.000
     91      -56.000
     92      -44.000
     93      -76.000
     94       16.000
     95      -24.000
     96      -28.000
     97      -56.000
     98      -44.000
     99      -24.000
    100      -34.000
    110      -36.000
    120       -4.000
    130      -18.000
    140      -94.000
    150      -38.000
    160      -56.000
    170      -62.000
    180      -28.000
    190      -22.000
    200      -62.000
    210      -10.000
    220      -34.000
    230      -80.000
    240      -16.000
    250      -32.000
    260      -52.000
    270      -74.000
    280      -28.000
    290      -10.000
    300        8.000
    310      -50.000
    320      -88.000
    330      -60.000
    340      -16.000
    350      -40.000
    360      -28.000
    370      -14.000
    380       -8.000
    390      -28.000
    400      -30.000
    410      -16.000
    420      -40.000
    430        2.000
    440      -60.000
    450      -56.000
    460      -40.000
    470       -6.000
    480      -38.000
    490      -16.000
    500       -4.000
    510      -94.000
    520      -30.000
    530      -20.000
    540      -34.000
    550      -40.000
    560      -84.000
    570      -42.000
    580      -22.000
    590       32.000
    600      -26.000
    610      -10.000
    620        2.000
    630      -10.000
    640      -30.000
    650      -34.000
    660      -38.000
    670      -22.000
    680      -48.000
    690      -62.000
    700      -42.000
    710      -34.000
    720      -78.000
    730      -66.000
    740        8.000
    750      -22.000
    760      -12.000
    770      -10.000
    780      -44.000
    790      -26.000
    800      -62.000
    810      -44.000
    820      -60.000
    830      -24.000
    840      -88.000
    850       -8.000
    860      -32.000
    870      -62.000
    880       10.000
    890      -32.000
    900      -20.000
    910      -50.000
    920      -56.000
    930      -94.000
    940      -18.000
    950      -36.000
    960      -22.000
    970      -72.000
    980      -24.000
    990      -32.000
