#  a       energy       error   
0.1000000 11.7956582 0.1218213
0.2000000 5.0496907 0.0559539
0.3000000 2.8352669 0.0335543
0.4000000 1.8962081 0.0235163
0.5000000 1.3219351 0.0165061
0.6000000 0.9952487 0.0121655
0.7000000 0.7845935 0.0089144
0.8000000 0.7025820 0.0071247
0.9000000 0.5965700 0.0051527
1.0000000 0.5574923 0.0039900
1.1000000 0.5246926 0.0029343
1.2000000 0.5152475 0.0025342
1.3000000 0.5256378 0.0029206
1.4000000 0.5310238 0.0036327
1.5000000 0.5459087 0.0046342
1.6000000 0.5772444 0.0057461
1.7000000 0.6431656 0.0067969
1.8000000 0.6708561 0.0080568
1.9000000 0.7291918 0.0092411
2.0000000 0.7441185 0.0107284
2.1000000 0.8016881 0.0120765
2.2000000 0.8841494 0.0132965
2.3000000 0.9146265 0.0149177
2.4000000 0.9783274 0.0164396
2.5000000 1.1311176 0.0177038
2.6000000 1.2028746 0.0193945
2.7000000 1.1998619 0.0208328
2.8000000 1.3759437 0.0227298
2.9000000 1.4395418 0.0244637
3.0000000 1.5387390 0.0264582
3.1000000 1.6112424 0.0284553
3.2000000 1.8308931 0.0294338
3.3000000 1.8342302 0.0324265
3.4000000 1.9789048 0.0342559
3.5000000 2.1568593 0.0361971
3.6000000 2.1675500 0.0386443
3.7000000 2.3305396 0.0402310
3.8000000 2.2807342 0.0432138
3.9000000 2.5031577 0.0453289
4.0000000 2.6054472 0.0473785
4.1000000 2.5355630 0.0503483
4.2000000 2.9924934 0.0522555
4.3000000 2.9843600 0.0560403
4.4000000 3.4044526 0.0563739
4.5000000 3.5310884 0.0595667
4.6000000 3.1311610 0.0634616
4.7000000 3.7082994 0.0656692
4.8000000 3.9126051 0.0688621
4.9000000 4.4478077 0.0691602
5.0000000 4.1093552 0.0734613
5.1000000 4.6141611 0.0760455
5.2000000 4.6919852 0.0790744
5.3000000 5.2019972 0.0821509
5.4000000 4.7692976 0.0868643
5.5000000 5.7361677 0.0863709
5.6000000 4.8816155 0.0934524
5.7000000 5.2012922 0.0970496
5.8000000 5.4317661 0.1005642
5.9000000 6.0994490 0.1034433
6.0000000 6.4801750 0.1047277
6.1000000 5.7305725 0.1140065
6.2000000 6.5285113 0.1126848
6.3000000 6.5521315 0.1156362
6.4000000 7.3016200 0.1238622
6.5000000 6.6600945 0.1267840
6.6000000 7.2873108 0.1301466
6.7000000 7.6166461 0.1385332
6.8000000 8.2106350 0.1357904
6.9000000 7.1047265 0.1460401
7.0000000 8.4212066 0.1447677
7.1000000 7.8068542 0.1472691
7.2000000 8.8651253 0.1527533
7.3000000 9.1674217 0.1589437
7.4000000 8.6701888 0.1665406
7.5000000 8.6191612 0.1705014
7.6000000 8.9686594 0.1701037
7.7000000 10.2840945 0.1760742
7.8000000 8.8426878 0.1845617
7.9000000 9.4974267 0.1885908
8.0000000 10.6633328 0.1918969
8.1000000 11.3993922 0.1963771
8.2000000 10.6606792 0.2042557
8.3000000 13.4206001 0.1955824
8.4000000 12.3091901 0.2081546
8.5000000 11.6324802 0.2156016
8.6000000 12.2872781 0.2189010
8.7000000 12.4191243 0.2288177
8.8000000 12.1795317 0.2346021
8.9000000 11.3158362 0.2411437
9.0000000 14.1744649 0.2408870
9.1000000 13.2998250 0.2455628
9.2000000 13.7573658 0.2648499
9.3000000 14.5690412 0.2578756
9.4000000 14.8718406 0.2604937
9.5000000 14.0469401 0.2675662
9.6000000 14.0615291 0.2783046
9.7000000 15.8703174 0.2726484
9.8000000 18.0046537 0.2821450
9.9000000 16.5881100 0.2880699
10.0000000 16.3786669 0.3049264
